"Institution Name","Administrative Unit Number","School Branch","Category","Status","Phone Number","Phone_Number_Extn","Web_Address","County","City","Primary Administrator","School Year"
"American Advanced Institute of Technology","422094139","0000","Private Licensed School","Open","2678409000",,"http://www.aaitschool.com/","Bucks","Feasterville","Mr Alexander  Naroditskiy","SY2021"
"American College","425230414","0000","Private College and University","Open","6105261000",,"https://www.theamericancollege.edu/","Montgomery","King of Prussia","Mr George  Nichols III","SY2021"
"American Home Inspectors Training Institute, Ltd.","421392149","0000","Private Licensed School","Open","8004419411",,"http://www.ahit.com","Allegheny","Brookfield","Ms Nichol  Andler","SY2021"
"Applied Motion Technologies, Inc./ITTC","420482209","0000","Private Licensed School","Open","6107042591",,"https://amthydraulics.com/","Northampton","Bethlehem","Ms Veronica  DeMarest","SY2021"
"Apprentice Training for the Electrical Industry (ATEI)","426516159","0000","Private Licensed School","Open","2155676405",,"http://www.atei98.org/","Philadelphia","Philadelphia","Mr Michael  Neill","SY2021"
"Arcadia University","423460504","0000","Private College and University","Open","2155722900",,"https://www.arcadia.edu","Montgomery","Glenside","Dr Ajay  Nair","SY2021"
"Ashland University","426519129","0000","Other College and University","Open","8008821548",,"https://www.ashland.edu/","Philadelphia","Philadelphia","Dr Carlos  Campo","SY2021"
"ASPIRA City College","426510059","0000","Private Licensed School","Open","2154552300",,"http://www.wficitycollege.edu","Philadelphia","Philadelphia","Ms Madeline   Sargent","SY2021"
"ASPIRA City College","426510059","0000","Specialized Associate Degree","Open","2154552300",,"http://www.wficitycollege.edu","Philadelphia","Philadelphia","Ms Madeline   Sargent","SY2021"
"At-Home Professions","400008019","0000","Private Licensed School","Open","9702256300",,"https://www.ahpseminars.com","Out-of-State","Fort Collins","Ms Janet  Perry","SY2021"
"Automotive Training Center","424150909","0000","Private Licensed School","Open","6103636716",,"http://www.autotraining.edu","Chester","Exton","Mr Donald  VanDemark, Jr.","SY2021"
"Automotive Training Center/Warminster","422091199","0000","Private Licensed School","Open","2152591900",,"http://www.autotraining.edu","Bucks","Warminster","Mr Donald S VanDemark Jr","SY2021"
"Aviation Institute of Maintenance","426517329","0000","Private Licensed School","Open","2156767700",,"http://www.AviationMaintenance.edu","Philadelphia","Philadelphia","Ms Stephanie  Makhoul","SY2021"
"Berks Technical Institute","414066119","0000","Private Licensed School","Open","6103721722",,"http://www.berks.edu","Berks","Wyomissing","Ms Elizabeth  Vlastos","SY2021"
"Berks Technical Institute","414066119","0000","Specialized Associate Degree","Open","6103721722",,"http://www.berks.edu","Berks","Wyomissing","Ms Elizabeth  Vlastos","SY2021"
"Bethany Theological Seminary","443008812","0000","Other College and University","Open","8002878822",,"http://www.bethanyseminary.edu","Out-of-State","Richmond","Dr Ruthann K Johansen","SY2021"
"Bidwell Training Center Inc","402021409","0000","Private Licensed School","Open","4123234000",,"http://www.bidwell-training.org","Allegheny","Pittsburgh","Dr Kimberly  Rassau","SY2021"
"Bidwell Training Center Inc","402021409","0000","Specialized Associate Degree","Open","4123234000",,"http://www.bidwell-training.org","Allegheny","Pittsburgh","Dr Kimberly  Rassau","SY2021"
"Bill Allens Pocono Institute of Taxidermy","418403019","0000","Private Licensed School","Open","5704439166",,"http://www.poconoinstitute.com","Luzerne","White Haven","Mr William    R Allen","SY2021"
"Blackstone Career Institute","419350209","0000","Private Licensed School","Open","6108710031",,"http://www.blackstone.edu/","Lehigh","Allentown","Mr Kevin        McCloskey","SY2021"
"Bloomsburg University of PA","416190570","0000","State University","Open","5703894000",,"https://www.bloomu.edu","Columbia","Bloomsburg","Dr Bashar W Hanna","SY2021"
"Bordentown Driver Training School, LLC","426519059","0000","Private Licensed School","Open","2152882294",,"http://www.smithsolomon.com","Philadelphia","Philadelphia","Mr James        Bennett","SY2021"
"Bordentown Driver Training School, LLC, DBA/Smith & Solomon","418401249","0000","Private Licensed School","Open","5706028780",,"http://www.smithsolomon.com","Luzerne","Dupont","Mr Jim  Bennett","SY2021"
"Bridgeway High School","421399289","0000","Private Licensed School","Open","6102669016",,"http://www.bridgewayhighschool.com","Lehigh","Catasauqua","Ms Jessica  Parnell","SY2021"
"Brockway Center for Arts and Technology","406335299","0000","Private Licensed School","Open","8142651111",,"http://www.brockwaycat.org","Jefferson","Brockway","Ms Deborah  Heigel","SY2021"
"Bryn Athyn Coll of New Church","423460104","0000","Private College and University","Open","2679382543",,"https://brynathyn.edu/","Montgomery","Bryn Athyn","Mr Brian  Blair","SY2021"
"Bryn Mawr College","423460604","0000","Private College and University","Open","6105265000",,"https://www.brynmawr.edu","Montgomery","Bryn Mawr","Dr Kimberly  Wright Cassidy","SY2021"
"Bucknell University","416600704","0000","Private College and University","Open","5705772000",,"https://www.bucknell.edu","Union","Lewisburg","Dr John    C Bravman","SY2021"
"Bucks Co CC/ Lower County Cps","422090752","1412","Community College","Open","2676854800",,"http://www.bucks.edu/about/campus/lbc/","Bucks","Bristol","Mr James  Sell","SY2021"
"Bucks Co CC/ Main","422090752","0000","Community College","Open","2159688000",,"https://www.bucks.edu","Bucks","Newtown","Dr Stephanie  Shanblatt","SY2021"
"Bucks Co CC/Upper County Cps","422090752","1410","Community College","Open","2152587700",,"http://www.bucks.edu/about/campus/ubc/","Bucks","Perkasie","Dr Rodney   Altemose","SY2021"
"Bucks Co Sch of Beauty Culture","409221987","0000","Other Approved School","Open","2153220666",,"http://bcsbc.edu/","Bucks","Feasterville","Mr Stephen    A Wallin","SY2021"
"Butler County Community Coll","404100852","0000","Community College","Open","7242878711",,"https://www.bc3.edu/","Butler","Butler","Dr Nicholas   C Neupauer","SY2021"
"Byzantine Catholic Seminary","402020805","0000","Theological Seminary","Open","4123217550",,"https://www.bcs.edu/","Allegheny","Pittsburgh","Rev Robert M Pipta","SY2021"
"Cabrini University","425230904","0000","Private College and University","Open","6109028100",,"https://www.cabrini.edu","Delaware","Radnor","Dr Donald B Taylor","SY2021"
"Cairn University","422097304","0000","Private College and University","Open","2157525800",,"https://cairn.edu/","Bucks","Langhorne","Dr Todd J Williams","SY2021"
"California University of PA","401630950","0000","State University","Open","7249384000",,"https://www.calu.edu","Washington","California","Ms Geraldine M Jones","SY2021"
"Carlow University","402020954","0000","Private College and University","Open","4125786000",,"https://www.carlow.edu","Allegheny","Pittsburgh","Dr Suzanne K Mellon","SY2021"
"Carnegie Mellon University","402021004","0000","Private College and University","Open","4122682000",,"https://www.cmu.edu","Allegheny","Pittsburgh","Dr Farnam  Jahanian","SY2021"
"CDE Career Institute","420458199","0000","Private Licensed School","Open","5706292690",,"http://cde.edu/","Monroe","Tannersville","Ms Justina   Albright","SY2021"
"CDL Ed Training Inc.","413362149","0000","Private Licensed School","Open","7172080838",,"https://www.cdlway.com/www/cdledtindex.html#!/cdlHome/CDL-ED-TRAINING","Lancaster","Lancaster","Mr Jose M Sobrino","SY2021"
"Cecil College","424152099","0000","Other College and University","Open","4102871000",,"http://www.cecil.edu/Pages/default.aspx","Chester","Oxford","Dr Mary   Bolt","SY2021"
"Cedar Crest College","421391104","0000","Private College and University","Open","6104374471",,"https://www.cedarcrest.edu","Lehigh","Allentown","Dr Elizabeth  Meade","SY2021"
"Central Penn College","415210357","0000","Private College and University","Open","8007592727",,"http://www.centralpenn.edu","Cumberland","Summerdale","Dr Linda  Fedrizzi-Williams","SY2021"
"Central Pennsylvania Diesel Institute","421399729","0000","Private Licensed School","Open","7174443134",,"http://www.cpdiesel.com/","Perry","Liverpool","Mr Alan  Yoder","SY2021"
"Central Pennsylvania Institute of Science and Technology","410146139","0000","Private Licensed School","Open","8143592793",,"http://www.cpi.edu","Centre","Pleasant Gap","Mr Todd  Taylor","SY2021"
"Central Pennsylvania Institute of Science and Technology","410146139","0000","Specialized Associate Degree","Open","8143592793",,"http://www.cpi.edu","Centre","Pleasant Gap","Mr Todd  Taylor","SY2021"
"Chambersburg Beauty School","412281229","0000","Private Licensed School","Open","7172670041",,"http://www.chambersburgbeautyschool.com","Franklin","Chambersburg","Ms Latoya  Gordon","SY2021"
"Chatham University","402021204","0000","Private College and University","Open","4123651100",,"https://www.chatham.edu","Allegheny","Pittsburgh","Dr David  L Finegold","SY2021"
"Chestnut Hill College","426511304","0000","Private College and University","Open","2152487000",,"https://www.chc.edu","Philadelphia","Philadelphia","Sr Carol Jean   Vale, SSJ, Ph.D.","SY2021"
"Cheyney University of PA","425231320","0000","State University","Open","6103992000",,"https://www.cheyney.edu","Delaware","Cheyney","Mr Aaron A Walton","SY2021"
"Christ the Saviour Seminary","408111355","0000","Theological Seminary","Open","8145390116",,"https://www.acrod.org/organizations/seminary","Cambria","Johnstown","Fr Frank  Miloro","SY2021"
"Circadium","426510613","0000","Private Licensed School","Open","2158491991",,"http://circadium.com/","Philadelphia","Philadelphia","Ms Shana  Kennedy","SY2021"
"Clarion Univ of PA/ Main","406161400","0000","State University","Open","8143932000",,"https://www.clarion.edu","Clarion","Clarion","Dr Dale-Elizabeth  Pehrsson","SY2021"
"Clarion Univ/Venango Campus","406161400","1010","State University","Open","8146766591",,"http://www.clarion.edu/239/","Venango","Oil City","Ms Roxanne M Gonzales-Walker","SY2021"
"Clarks Summit University","419350454","0000","Private College and University","Open","5705862400",,"https://www.clarkssummitu.edu/","Lackawanna","Clarks Summit","Dr James R Lytle","SY2021"
"Commonwealth Technical Institute","408111007","0000","Private Licensed School","Open","8142540471",,"http://www.dli.pa.gov/Individuals/Disability-Services/hgac/cti","Cambria","Johnstown","Mr James   Thomas","SY2021"
"Commonwealth Technical Institute","408111007","0000","Specialized Associate Degree","Open","8142540471",,"http://www.dli.pa.gov/Individuals/Disability-Services/hgac/cti","Cambria","Johnstown","Mr James   Thomas","SY2021"
"Community Coll of Allegheny Co","402020952","0000","Community College","Open","4123232323",,"https://www.ccac.edu","Allegheny","Pittsburgh","Dr Quintin B Bullock","SY2021"
"Community College of Beaver Co","427041052","0000","Community College","Open","7247758561",,"http://www.ccbc.edu","Beaver","Monaca","Dr Roger W Davis","SY2021"
"Community College of Phila","426512002","0000","Community College","Open","2157518000",,"http://www.ccp.edu","Philadelphia","Philadelphia","Dr Donald G Generals","SY2021"
"Community Kitchen Pittsburgh","402022219","0000","Private Licensed School","Open","4122464736",,"http://www.ckpgh.org","Allegheny","Pittsburgh","Mr Darryl  Coaston","SY2021"
"Community Training Institute","401261049","0000","Private Licensed School","Open","7244376050",,,"Fayette","Uniontown","Ms Susan   Wagner","SY2021"
"Contemporary Health Career Institute, Inc.","424151219","0000","Private Licensed School","Open","6103639170",,"http://www.CHCIcareer.com","Chester","Exton","Mr Jeffrey  Scharf","SY2021"
"Cortiva Institute","423467059","0000","Private Licensed School","Open","4846901400",,"http://www.cortiva.com/psmt","Montgomery","King of Prussia","Ms Marissa   German","SY2021"
"Curtis Institute of Music","426511604","0000","Private College and University","Open","2158935252",,"https://www.curtis.edu/","Philadelphia","Philadelphia","Mr Roberto        Diaz","SY2021"
"DCI Career Institute","427041109","0000","Private Licensed School","Open","7246383774",,"http://www.dci.edu","Beaver","Monaca","Mr Raymond C Dunn","SY2021"
"DCS School of Driving, LLC","412671289","0000","Private Licensed School","Open","7175869648",,"http://www.DCSdrivingschool.com","York","Thomasville","Mr Christopher J Rudisill","SY2021"
"Delaware County Community Coll","425232502","0000","Community College","Open","6103595000",,"https://www.dccc.edu/","Delaware","Media","Dr L. Joy   Gates Black","SY2021"
"Delaware Valley University","422091723","0000","Private College and University","Open","2153451500",,"https://www.delval.edu","Bucks","Doylestown","Dr Maria  Gallo","SY2021"
"DeSales University","421390324","0000","Private College and University","Open","6102821100",,"https://www.desales.edu","Lehigh","Center Valley","Rev James J Greenfield OSFS","SY2021"
"Detail King Auto Detailing Training Institute, LLC","402020699","0000","Private Licensed School","Open","8883140847",,"http://www.detailking.com/","Allegheny","Pittsburgh","Mr Nicholas J Vacco","SY2021"
"DeVry University - Center City Center- Philadelphia","400009259","0163","Other College and University","Open","8668643879",,"http://www.devry.edu/locations/campuses/loc_philadelphia.jsp","Philadelphia","Philadelphia","Ms Joyce  Wheatley","SY2021"
"DeVry University - Fort Washington","400009259","0161","Other College and University","Open","2155915793",,"http://www.devry.edu/locations/campuses/loc_ftwashingtoncampus.jsp","Montgomery","Fort Washington","Ms Joyce  Wheatley","SY2021"
"Devry University, Inc","400009259","0000","Other College and University","Open","6305157700",,"https://www.devry.edu/about/campus-locations/pennsylvania/fort-washington.html","Out-of-State","Naperville","Mr Thomas L Monahan III","SY2021"
"Dickinson College","415211804","0000","Private College and University","Open","7172435121",,"https://www.dickinson.edu","Cumberland","Carlisle","Dr Margee M Ensign","SY2021"
"Dotlen Academy of Science","423463199","0000","Private Licensed School","Open","6102778800",,,"Montgomery","Norristown","Mr Temitope  Oladotun MSN, RN","SY2021"
"Douglas Education Center","407652709","0000","Private Licensed School","Open","7246843684",,"http://www.dec.edu","Westmoreland","Monessen","Mr Jeff         Imbrescia","SY2021"
"Douglas Education Center","407652709","0000","Specialized Associate Degree","Open","7246843684",,"http://www.dec.edu","Westmoreland","Monessen","Mr Jeff         Imbrescia","SY2021"
"Drexel University","426512103","0000","Private State-Aided Institution","Open","2158952000",,"https://www.drexel.edu","Philadelphia","Philadelphia","Mr John A Fry","SY2021"
"Duquesne University","402022304","0000","Private College and University","Open","4123966000",,"https://www.duq.edu","Allegheny","Pittsburgh","Mr Kenneth G Gormley J.D.","SY2021"
"East Coast Institute of Taxidermy","418402149","0000","Private Licensed School","Open","5703793157",,"http://www.taxidermyinstitute.com/","Luzerne","Wapwallopen","Mr Brian  McLaughlin","SY2021"
"East Stroudsburg Univ of PA","420452620","0000","State University","Open","5704223211",,"https://www.esu.edu","Monroe","East Stroudsburg","Mr Kenneth  Long","SY2021"
"East-West School of Massage Therapy","406141059","0000","Private Licensed School","Open","6103757520",,"http://www.eastwest-massage.com/","Berks","Wyomissing","Mr Rodney L McGrath Sr.","SY2021"
"Eastern Mennonite Univ/Lanc","400000025","0001","Other College and University","Open","7173975190",,"https://emu.edu","Lancaster","Lancaster","Dr   Fred   Kniss","SY2021"
"Eastern University","425232404","0000","Private College and University","Open","6103415800",,"https://www.eastern.edu/","Delaware","St Davids","Dr Ronald A Matthews DMA","SY2021"
"Edinboro University of PA","405252650","0000","State University","Open","8147322000",,"http://www.edinboro.edu","Erie","Edinboro","Dr Guiyou  Huang","SY2021"
"Education and Technology Institute","407658199","0000","Private Licensed School","Open","7248362600",,"http://www.eti.edu/home.html","Westmoreland","Greensburg","Mr Sean  Sypolt","SY2021"
"Education Institute for Early Intervention (EIEI) Inc. (The)","425232719","0000","Private Licensed School","Open","2678386684",,,"Delaware","Lansdowne","Dr Essence  Allen-Presley","SY2021"
"Educational Correspondence Training School, LLC","405258239","0000","Private Licensed School","Open","8148331911",,"http://www.ectschool.com","Erie","Erie","Ms Cindy L Yahn Grode","SY2021"
"Elite Bartending School","402025719","0000","Private Licensed School","Open","4123449100",,"http://www.elitebartend.com","Allegheny","Pittsburgh","Ms Lawrie A Madden","SY2021"
"Elizabethtown College","413362704","0000","Private College and University","Open","7173611000",,"https://www.etown.edu","Lancaster","Elizabethtown","Mrs Cecilia M McCormick J.D.","SY2021"
"Entry Level Nurse Aide Program","426513049","0000","Private Licensed School","Open","2158434262",,"http://www.entrylevelcna.com/","Philadelphia","Philadelphia","Mr Mark  Lamar","SY2021"
"Erie Institute of Technology","405253059","0000","Private Licensed School","Open","8148689900",,"http://www.erieit.edu/","Erie","Erie","Mr Paul       Fitzgerald","SY2021"
"Erie Institute of Technology","405253059","0000","Specialized Associate Degree","Open","8148689900",,"http://www.erieit.edu/","Erie","Erie","Mr Paul       Fitzgerald","SY2021"
"European Medical School of Massage LLC","414061219","0000","Private Licensed School","Open","6106706100",,"http://www.emsom.edu","Berks","Sinking Spring","Mr Dorel  Lacatus","SY2021"
"Evangelical Theological Seminary","413382805","0000","Theological Seminary","Open","7178665775",,"https://evangelical.edu/","Lebanon","Myerstown","Dr Anthony L Blair","SY2021"
"Falcon Educational Services, Inc.","420481209","0000","Private Licensed School","Open","4848090698",,"none","Northampton","Bethlehem","Ms Harpreet   Chahal","SY2021"
"Fayette Institute of Commerce and Technology, Inc.","401263209","0000","Private Licensed School","Open","7244384568",,"http://www.fict.com","Fayette","Uniontown","Dr Stephen M Priselac","SY2021"
"Finishing Trades Institute of the Mid-Atlantic Region","426517179","0000","Private Licensed School","Open","2155010130",,"https://www.fti.edu/","Philadelphia","Philadelphia","Mr Martin  McNulty","SY2021"
"Finishing Trades Institute of the Mid-Atlantic Region","426517179","0000","Specialized Associate Degree","Open","2155010130",,"https://www.fti.edu/","Philadelphia","Philadelphia","Mr Martin  McNulty","SY2021"
"Fortis Institute - Forty Fort Campus","418401109","0000","Private Licensed School","Open","5702888400",,"https://www.fortis.edu/","Luzerne","Forty Fort","Ms Ruth       L Brumagin","SY2021"
"Fortis Institute - Forty Fort Campus","418401109","0000","Specialized Associate Degree","Open","5702888400",,"https://www.fortis.edu/","Luzerne","Forty Fort","Ms Ruth       L Brumagin","SY2021"
"Fortis Institute - Scranton","418351109","0000","Private Licensed School","Open","5705581818",,"https://www.fortis.edu/","Lackawanna","Scranton","Ms Madeline  Levy Cruz","SY2021"
"Fortis Institute - Scranton","418351109","0000","Specialized Associate Degree","Open","5705581818",,"https://www.fortis.edu/","Lackawanna","Scranton","Ms Madeline  Levy Cruz","SY2021"
"Fortress Academy (The)","412671199","0000","Private Licensed School","Open","4436905167",,"http://thefortress.academy/","York","York","Mr John R McElligott","SY2021"
"Franklin and Marshall College","413363004","0000","Private College and University","Open","7172913911",,"https://www.fandm.edu","Lancaster","Lancaster","Dr Barbara K Altmann","SY2021"
"Franklin University","404107189","0000","Other College and University","Open","6147974700",,"https://www.franklin.edu/","Butler","Butler","Dr David R Decker","SY2021"
"Franklin University","427047119","0000","Other College and University","Open","8773416300",,"https://www.franklin.edu/","Beaver","Monaca","Dr David  Decker","SY2021"
"Frontier Nursing University","427004109","0000","Other College and University","Open","6066722312",,"https://frontier.edu/","Out-of-State","Hyden","Dr Susan E Stone DNSc, CNM, FACNM, FA","SY2021"
"Full Circle Computing, Inc.","424151199","0000","Private Licensed School","Open","6105949510",,"http://www.fullcirclecomputing.com/index.html","Chester","Exton","Mr Denean  Williams","SY2021"
"Gallaudet University","400002004","0000","Other College and University","Open","2026515000",,"https://www.gallaudet.edu","Out-of-State","Washington","Ms Roberta J Cordano J.D.","SY2021"
"Gannon University","405253104","0000","Private College and University","Open","8148717000",,"https://www.gannon.edu","Erie","Erie","Dr Keith  Taylor","SY2021"
"Geisinger Commonwealth School of Medicine","452357540","0000","Private College and University","Open","5705047000",,"https://tcmc.edu/","Lackawanna","Scranton","Dr Steven  J Scheinman","SY2021"
"Geneva College","427043204","0000","Private College and University","Open","7248465100",,"https://www.geneva.edu","Beaver","Beaver Falls","Dr Calvin L Troup","SY2021"
"Gettysburg College","412013304","0000","Private College and University","Open","7173376000",,"https://www.gettysburg.edu","Adams","Gettysburg","Mr Robert W Iuliano","SY2021"
"Global CDL Driver Training School LLC","426518099","0000","Private Licensed School","Open","2152081071",,"GlobalCDLSchool.com","Philadelphia","Philadelphia","Mr Karj   Singh Sandhu","SY2021"
"Global Power Line Academy","408078139","0000","Private Licensed School","Open","8146953259",,"http://www.globalpowerlineacademy.com","Bedford","Hollidaysburg","Mr Kenneth  Bilek","SY2021"
"Goodwill Employment Training Center","402021279","0000","Private Licensed School","Open","4124819005",,"http://www.goodwillpitt.org","Allegheny","Pittsburgh","Ms Peggy  Trout","SY2021"
"Gratz College","426513324","0000","Private College and University","Open","2156357300",,"https://www.gratz.edu/","Montgomery","Melrose Park","Dr Paul  Finkelman","SY2021"
"Great Lakes Institute of Technology","405255799","0000","Private Licensed School","Open","8148646666",,"http://www.glit.org","Erie","Erie","Mr Eric  Berrios","SY2021"
"Great Lakes Institute of Technology","405255799","0000","Specialized Associate Degree","Open","8148646666",,"http://www.glit.org","Erie","Erie","Mr Eric  Berrios","SY2021"
"Grove City College","404433404","0000","Private College and University","Open","7244582000",,"http://www.gcc.edu","Mercer","Grove City","Mr Paul J McNulty J.D.","SY2021"
"Gwynedd Mercy University","423463504","0000","Private College and University","Open","2156467300",,"https://www.gmercyu.edu/","Montgomery","Gwynedd Valley","Ms Deanne H D'Emilio JD","SY2021"
"HACC/ Main","415223752","0000","Community College","Open","7177802300",,"https://www.hacc.edu","Dauphin","Harrisburg","Dr John J Sygielski","SY2021"
"HACC/Gettysburg Campus","415223752","1430","Community College","Open","7173373855",,"http://www.hacc.edu/gettysburg","Adams","Gettysburg","Dr John J Sygielski","SY2021"
"HACC/Lancaster Campus","415223752","1410","Community College","Open","7172935000",,"http://www.hacc.edu/lancaster","Lancaster","Lancaster","Dr John J Sygielski","SY2021"
"HACC/Lebanon Campus","415223752","1420","Community College","Open","7172704222",,"http://www.hacc.edu/lebanon","Lebanon","Lebanon","Dr John J Sygielski","SY2021"
"HACC/York Campus","415223752","1431","Community College","Open","7177180328",,"http://www.hacc.edu/york","York","York","Dr John J Sygielski","SY2021"
"Hagerstown Community College","400004104","0000","Other College and University","Open","2405002000",,"http://www.hagerstowncc.edu/","Out-of-State","Hagerstown","Dr James  S Klauber","SY2021"
"Harcum College","423463706","0000","Private Two-Year College","Open","6105254100",,"https://www.harcum.edu","Montgomery","Bryn Mawr","Dr Jon Jay  DeTemple","SY2021"
"Harris School of Business","425232229","0000","Private Licensed School","Open","4844633800",,"http://www.harrisschool.com/","Delaware","Upper Darby","Ms Carole  Heininger","SY2021"
"Harris School of Business","426513089","0000","Private Licensed School","Open","6095580036",,"https://www.harrisschool.edu","Philadelphia","Philadelphia","Ms Melanie  Gaskins","SY2021"
"Harrisburg University of Science and Technology","413005206","0000","Private College and University","Open","7179015100",,"https://www.harrisburgu.edu","Dauphin","Harrisburg","Dr Eric D Darr","SY2021"
"Harrison Career Institute, Inc","400006039","0000","Administrative Office","Open","8567518181",,,"Out-of-State","Voorhees","Mr Charles      Galletti","SY2021"
"Haverford College","423463804","0000","Private College and University","Open","6108961000",,"https://www.haverford.edu","Delaware","Haverford","Dr Wendy E Raymond","SY2021"
"Health & Tech Training Inst","426519759","0000","Administrative Office","Open","2157355555",,,"Philadelphia","Philadelphia","Dr James      T Ryan","SY2021"
"Health & Technology Training Institute","426519759","0110","Private Licensed School","Open","2155682220",,"http://www.1199ctraining.org","Philadelphia","Philadelphia","Ms Cheryl       Feldman","SY2021"
"HMESEI, Inc.","425231089","0000","Administrative Office","Open","6104591299",,,"Delaware","Cheyney","Dr Catherine  W Wilson","SY2021"
"Holy Family University","426514004","0000","Private College and University","Open","2156377700",,"https://www.holyfamily.edu","Philadelphia","Philadelphia","Sr Maureen  McGarrity CSFN, PhD","SY2021"
"Hope Center for Arts and Technology, Inc.","404431229","0000","Private Licensed School","Open","7243085135",,"http://www.hopecat.org","Mercer","Sharon","Mr Thomas R Roberts","SY2021"
"Hope College","448009598","0000","Other College and University","Open","6163957000",,"https://www.hope.edu/","Out-of-State","Holland","Rev Dennis N Voskuil","SY2021"
"Hussian College","426511107","0000","Private College and University","Open","2155749600",,"https://www.hussiancollege.edu","Philadelphia","Philadelphia","Dr Jeremiah  Staropoli","SY2021"
"HVA EduCenter","405258249","0000","Private Licensed School","Open","8148331609",,"http://www.healthcareventuresalliance.org/nursing/","Erie","Erie","Ms Jennifer   Agnello","SY2021"
"Immaculata University","424154104","0000","Private College and University","Open","6106474400",,"https://www.immaculata.edu","Chester","Immaculata","Ms Barbara  Lettiere","SY2021"
"Indiana Univ of PA/ Main","428324150","0000","State University","Open","7243572100",,"https://www.iup.edu","Indiana","Indiana","Dr Michael A Driscoll","SY2021"
"Indiana Univ/Northpointe","428324150","1040","State University","Open","7242943300",,"http://www.iup.edu/northpointe/default.aspx","Armstrong","Freeport","Mr Richard  Muth","SY2021"
"Indiana Univ/Punxsutawney Cmp","428324150","1050","State University","Open","7243572100",,"http://www.iup.edu/punxsutawney/default.aspx","Jefferson","Punxsutawney","Mr Richard  Muth","SY2021"
"Industrial Training and Testing Institute","426511379","0000","Private Licensed School","Open","2157441008",,"http://www.ittinstitute.org/","Philadelphia","Philadelphia","Mr Chester      Turner","SY2021"
"Institute of Medical and Business Careers","402021299","0000","Private Licensed School","Open","4122443240",,"https://imbc.edu/locations/pittsburgh/","Allegheny","Pittsburgh","Mr Ryan  Ogrodnik","SY2021"
"Institute of Medical and Business Careers","402021299","0000","Specialized Associate Degree","Open","4122443240",,"https://imbc.edu/locations/pittsburgh/","Allegheny","Pittsburgh","Mr Ryan  Ogrodnik","SY2021"
"Institute of Medical and Business Careers","405251169","0000","Private Licensed School","Open","8148357740",,"https://imbc.edu/locations/erie/","Erie","Erie","Mr Michael E Euliano","SY2021"
"Institute of Medical and Business Careers","405251169","0000","Specialized Associate Degree","Open","8148357740",,"https://imbc.edu/locations/erie/","Erie","Erie","Mr Michael E Euliano","SY2021"
"Int'l Assoc of Heat & Frost Insulators & Allied Workers","426512319","0000","Private Licensed School","Open","2155330395",,"http://www.local-14.org/","Philadelphia","Philadelphia","Mr Ed  Krawczyk","SY2021"
"Integrative Bodywork School of Massage Therapy, Inc.","410141219","0000","Private Licensed School","Open","8142344700",,"http://www.ibsmt.com","Centre","State College","Mr Aaron  Pavlechko","SY2021"
